node1,node2,score
60076973,1307159412,249.68692342765422
60076973,1307159285,284.66849824319434
60076978,1151193387,291.3799985822714
60076978,1974739890,286.075020789801
60076978,4419524069,308.61637009780327
60076978,4419524041,242.0358783771754
311080367,311080375,234.90698821979294
311080367,1726059984,229.3023718520829
311080367,8667811049,235.0064044554544
311080367,8667811456,166.41364233947922
311080375,311080367,234.90698821979294
311080375,8667811048,236.9879454286621
311080375,11089396200,235.19448270063515
311080375,7224448691,235.56691691811665
311080375,8667811050,236.8048608975374
311080380,7224393857,525.0257847058347
311080380,5160642090,509.2580257577174
311080380,321706316,512.7765266005848
311783969,8670492811,125.62098628835642
311783969,8670492812,126.34804526712655
311783969,8670492810,125.78210381918873
311783969,8670492809,126.34933004282838
311783971,7798135090,163.61819291852507
311783971,7798135087,163.6218914948437
311783971,7798135088,163.70820012608596
311783971,7798135085,164.3559308402471
311783991,8667811555,192.97493798024118
311783991,2606055790,202.92536152101198
311783991,8667811558,195.18704786367016
311783999,26069885,263.3404626607173
311783999,8667811507,250.1848287455694
311783999,8667811504,272.1384219141811
311784002,12749424064,190.6722982419944
311784002,8667811509,152.40800397120034
311784002,8667811518,152.2628831924832
311784002,8667811516,147.6599708829919
311784014,26059491,218.33916647457738
311784014,2627120776,207.35472714325192
311784014,2627120777,201.42946625112086
311784014,8667811488,202.79779587145185
311784014,8667811479,208.17675063448118
311784017,8667811460,194.20790189051343
311784017,8667811483,202.65807439236056
311784017,3951197837,213.5609280559575
311784017,8667811479,205.03856183796765
313164058,9724337873,88.32271568157029
313164058,9724337865,94.39463838988806
313164058,9724126028,90.87654361673009
313164058,2627120776,147.77576149888813
313164058,2627120777,141.850500606757
313164076,2761345326,251.28381007938918
313164076,8670492870,249.4627207295821
313164076,8670492871,247.90063547264424
313164089,8670492861,304.79401760417664
313164089,8670492863,289.8826533730516
313164089,8670492864,306.3732027861729
313164089,8670492862,285.32142822257254
313164093,8670492831,375.625584308362
313164093,10978590012,367.57761276383405
313164093,441708902,382.43285667101577
313164098,9127689093,425.70131740773127
313164098,1953248265,467.3755927580311
313164098,8670492830,400.72319352363195
313164113,441708908,372.68405777296135
313164113,8670492837,391.008260926877
313164113,313164120,366.37959408167933
313164120,2990938768,342.1903335731674
313164120,8670492842,352.47861033708296
